1_001{1}	
2θ, °	Intensity, counts
23.0400009155273	3156.31982421875
23.0599994659424	1346.58239746094
23.0799999237061	1594.93786621094
23.1000003814697	1241.2314453125
23.1200008392334	495.910003662109
23.1399993896484	254.326995849609
23.1599998474121	198.602523803711
23.1800003051758	143.189910888672
23.2000007629395	127.656005859375
23.2199993133545	96.2693710327148
23.2399997711182	94.143310546875
23.2600002288818	87.6769409179688
23.2800006866455	61.7613868713379
23.2999992370605	65.1819839477539
23.3199996948242	54.727222442627
23.3400001525879	55.6246528625488
23.3600006103516	53.3813362121582
23.3799991607666	49.7749214172363
23.3999996185303	59.0151290893555
23.4200000762939	39.9231109619141
23.4400005340576	55.7658081054688
23.4599990844727	32.681957244873
23.4799995422363	23.5005397796631
23.5	37.1388854980469
23.5200004577637	37.5725975036621
23.5400009155273	29.8278312683105
23.5599994659424	32.3071823120117
23.5799999237061	32.4672508239746
23.6000003814697	44.1380920410156
23.6200008392334	48.8431701660156
23.6399993896484	28.4213752746582
23.6599998474121	33.7911186218262
23.6800003051758	42.1650276184082
23.7000007629395	24.6769733428955
23.7199993133545	54.8003311157227
23.7399997711182	30.8019828796387
23.7600002288818	53.2630958557129
23.7800006866455	36.2018165588379
23.7999992370605	26.485445022583
23.8199996948242	36.5173606872559
23.8400001525879	35.0953102111816
23.8600006103516	51.4863433837891
23.8799991607666	49.7472648620605
23.8999996185303	48.6967430114746
23.9200000762939	43.8548126220703
23.9400005340576	51.916675567627
23.9599990844727	24.6486740112305
23.9799995422363	45.9485893249512
24	39.5855331420898
24.0200004577637	25.3577098846436
24.0400009155273	42.5928497314453
24.0599994659424	26.4474964141846
24.0799999237061	55.7162132263184
24.1000003814697	41.3934326171875
24.1200008392334	31.5263004302979
24.1399993896484	30.8260879516602
24.1599998474121	33.679515838623
24.1800003051758	30.036470413208
24.2000007629395	37.7624320983887
24.2199993133545	23.3571014404297
24.2399997711182	42.7256736755371
24.2600002288818	50.1100883483887
24.2800006866455	43.3080787658691
24.2999992370605	43.0521812438965
24.3199996948242	39.5156669616699
24.3400001525879	43.7157974243164
24.3600006103516	49.4252548217773
24.3799991607666	20.6110420227051
24.3999996185303	36.8463973999023
24.4200000762939	38.8197288513184
24.4400005340576	32.8111228942871
24.4599990844727	30.7894878387451
24.4799995422363	42.9774055480957
24.5	44.9311599731445
24.5200004577637	43.3077507019043
24.5400009155273	38.179630279541
24.5599994659424	29.476842880249
24.5799999237061	41.8587799072266
